1                                                                                                                                                                                                                                                              01/01/20041                                                                                                                                                                                                                                                              1                   1                                                                                                                                                                                                                                                                 
2                                                                                                                                                                                                                                                              01/01/20042                                                                                                                                                                                                                                                              2                   2                                                                                                                                                                                                                                                                 
3                                                                                                                                                                                                                                                              01/01/20043                                                                                                                                                                                                                                                              3                   3                                                                                                                                                                                                                                                                 
4                                                                                                                                                                                                                                                              01/01/20044                                                                                                                                                                                                                                                              4                   4                                                                                                                                                                                                                                                                 
5                                                                                                                                                                                                                                                              01/01/20045                                                                                                                                                                                                                                                              5                   5                                                                                                                                                                                                                                                                 
 
  


 
